OTU_17256	2880
OTU_465	0
OTU_12327	193
OTU_1347	6
OTU_9647	39
OTU_10912	254
OTU_7288	1139
OTU_560	76
OTU_4983	45
OTU_328	43
OTU_14603	4
OTU_1428	90
OTU_342	87
OTU_1272	19
OTU_1151	0
OTU_5206	48
OTU_130	0
OTU_86	119
OTU_18957	0
OTU_376	3
OTU_17257	1318
OTU_902	26
OTU_1101	8
OTU_32	15
OTU_988	0
OTU_18830	47
OTU_1026	124
OTU_710	2
OTU_15165	399
OTU_14312	280
OTU_925	149
OTU_10099	596
OTU_8670	3
OTU_16684	1
OTU_549	44
OTU_661	543
OTU_79	66
OTU_1350	107
OTU_12820	11
OTU_2488	0
OTU_399	32
OTU_1307	552
OTU_862	254
OTU_18050	2187
OTU_1112	145
OTU_11565	326
OTU_538	8
OTU_16612	199
OTU_791	0
OTU_29	26
OTU_10100	191
OTU_8703	0
OTU_5721	348
OTU_252	3
OTU_317	12
OTU_13844	1012
OTU_596	157
OTU_414	62
OTU_142	540
OTU_1223	30
OTU_530	289
OTU_50	8
OTU_55	7
OTU_6935	441
OTU_4769	0
OTU_287	526
OTU_945	31
OTU_11179	2628
OTU_319	0
OTU_99	0
OTU_1209	1
OTU_17535	6
OTU_1417	0
OTU_6890	319
OTU_528	1
OTU_12714	161
OTU_15010	2591
OTU_824	42
OTU_214	11
OTU_125	39
OTU_552	0
OTU_139	186
OTU_1358	0
OTU_506	439
OTU_1	344
OTU_74	0
OTU_8552	0
OTU_49	355
OTU_266	47
OTU_4335	882
OTU_2937	0
OTU_631	182
OTU_462	0
OTU_11400	388
OTU_3214	29
OTU_44	0
OTU_1152	2088
OTU_7314	0
OTU_997	1
OTU_136	0
OTU_5671	243
OTU_628	1
OTU_8553	45
OTU_80	94
OTU_458	19
OTU_18419	404
OTU_9142	361
OTU_11150	1507
OTU_597	50
OTU_15798	3235
OTU_162	133
OTU_169	0
OTU_1153	62
OTU_425	29
OTU_3680	32
OTU_418	766
OTU_6484	0
OTU_1327	4
OTU_877	191
OTU_16448	37
OTU_103	0
OTU_5818	158
OTU_2376	606
OTU_14086	5690
OTU_293	77
OTU_6485	192
OTU_419	0
OTU_5780	0
OTU_523	0
OTU_1290	21
OTU_7191	247
OTU_1399	3
OTU_17924	214
OTU_172	29
OTU_19552	1050
OTU_95	0
OTU_18020	324
OTU_190	0
OTU_1252	49
OTU_71	2
OTU_155	0
OTU_1097	134
OTU_18999	1
OTU_324	25
OTU_692	137
OTU_4521	454
OTU_7533	401
OTU_183	2
OTU_420	663
OTU_36	3
OTU_669	0
OTU_247	33
OTU_3194	194
OTU_6634	1194
OTU_887	50
OTU_131	1
OTU_12880	180
OTU_126	0
OTU_9567	13
OTU_5957	29
OTU_962	22
OTU_6829	7
OTU_1414	295
OTU_764	16
OTU_10881	2
OTU_85	10
OTU_883	64
OTU_13111	4039
OTU_1183	6
OTU_12128	0
OTU_11295	16
OTU_1154	12
OTU_11711	1
OTU_1814	330
OTU_817	50
OTU_205	36
OTU_191	8
OTU_16394	0
OTU_1244	3
OTU_3	124
OTU_875	37
OTU_391	35
OTU_10159	7
OTU_1238	107
OTU_985	43
OTU_1184	117
OTU_14	3
OTU_15591	0
OTU_11950	32
OTU_19131	871
OTU_14057	13
OTU_19848	0
OTU_1242	177
OTU_117	6
OTU_1010	8
OTU_480	2
OTU_39	154
OTU_2851	144
OTU_12063	5
OTU_9082	50
OTU_13439	1
OTU_522	0
OTU_11667	144
OTU_767	21
OTU_384	0
OTU_430	14
OTU_13969	0
OTU_77	541
OTU_14535	5
OTU_1356	203
OTU_599	45
OTU_394	456
OTU_1808	0
OTU_17314	2032
OTU_6022	0
OTU_463	37
OTU_15069	0
OTU_15166	1890
OTU_140	46
OTU_16328	151
OTU_48	5
OTU_6242	0
OTU_14536	0
OTU_16613	625
OTU_19759	3
OTU_10424	504
OTU_12401	7
OTU_14472	1794
OTU_613	9
OTU_504	5
OTU_171	81
OTU_1234	0
OTU_18260	0
OTU_584	33
OTU_16329	55
OTU_11215	10
OTU_17401	0
OTU_16	57
OTU_11854	6
OTU_5	35
OTU_1210	1
OTU_1161	125
OTU_11180	209
OTU_1138	153
OTU_18926	1
OTU_10289	810
OTU_3757	465
OTU_1443	129
OTU_31	249
OTU_59	92
OTU_1168	0
OTU_8519	67
OTU_18391	2
OTU_11151	131
OTU_14604	0
OTU_1441	63
OTU_1391	563
OTU_197	0
OTU_440	4
OTU_1044	34
OTU_173	8
OTU_13440	1136
OTU_9529	0
OTU_289	0
OTU_765	7
OTU_11336	689
OTU_15962	159
OTU_479	39
OTU_1266	4
OTU_1001	52
OTU_8616	186
OTU_70	0
OTU_1328	0
OTU_11914	6
OTU_518	18
OTU_9083	0
OTU_7082	1940
OTU_10101	0
OTU_838	204
OTU_10646	0
OTU_11	7
OTU_1002	0
OTU_331	3
OTU_484	341
OTU_818	50
OTU_178	22
OTU_683	235
OTU_16544	552
OTU_3580	122
OTU_176	2592
OTU_14087	38
OTU_3966	14
OTU_1125	1
